Family,Species,kmax,lon,lat,sizemax,sstmean,method,species,source
Acanthuridae,Acanthurus auranticavus,0.155844968,147.5,-18.5,60.7,26.55649216,Otolith rings,Acanthurus_auranticavus,Morais_fishbase
Acanthuridae,Acanthurus bahianus,0.219824541,-14.4,-7.9,52,25.93844689,Otolith rings,Acanthurus_bahianus,Morais_fishbase
Acanthuridae,Acanthurus bahianus,0.282354889,-42,-22.98,52,23.68475711,Otolith rings,Acanthurus_bahianus,Morais_fishbase
Acanthuridae,Acanthurus bahianus,0.295534247,-5.7,-18.9,52,22.38181805,Otolith rings,Acanthurus_bahianus,Morais_fishbase
Acanthuridae,Acanthurus blochii,0.082224162,147.5,-18.5,61.5,26.55649216,Otolith rings,Acanthurus_blochii,Morais_fishbase
Acanthuridae,Acanthurus chirurgus,0.149562287,-64.69,18.33,42,27.87900795,Mark-recapture,Acanthurus_chirurgus,Morais_fishbase
Acanthuridae,Acanthurus chirurgus,0.331596163,-77.3,17.7,42,28.48861941,Unknown,Acanthurus_chirurgus,Morais_fishbase
Acanthuridae,Acanthurus chirurgus,0.249687157,-78.8,9.6,42,28.77987676,Otolith rings,Acanthurus_chirurgus,Morais_fishbase
Acanthuridae,Acanthurus coeruleus,0.084608638,-64.69,18.33,45,27.87900795,Mark-recapture,Acanthurus_coeruleus,Morais_fishbase
Acanthuridae,Acanthurus coeruleus,0.200592124,-77.3,17.7,45,28.48861941,Unknown,Acanthurus_coeruleus,Morais_fishbase
Acanthuridae,Acanthurus coeruleus,0.205573348,-76.09,23.08,45,27.07117892,Otolith rings,Acanthurus_coeruleus,Morais_fishbase
Acanthuridae,Acanthurus coeruleus,0.134461621,-78.8,9.6,45,28.77987676,Otolith rings,Acanthurus_coeruleus,Morais_fishbase
Acanthuridae,Acanthurus coeruleus,0.128065796,-14.4,-7.9,45,25.93844689,Otolith rings,Acanthurus_coeruleus,Morais_fishbase
Acanthuridae,Acanthurus dussumieri,0.168954875,147.5,-18.5,54,26.55649216,Otolith rings,Acanthurus_dussumieri,Morais_fishbase
Acanthuridae,Acanthurus lineatus,0.267333315,-170.8,-14.5,38,28.9795003,Otolith rings,Acanthurus_lineatus,Morais_fishbase
Acanthuridae,Acanthurus lineatus,0.137526481,145.4,-14.7,38,26.86426235,Otolith rings,Acanthurus_lineatus,Morais_fishbase
Acanthuridae,Acanthurus lineatus,0.328462524,145.4,-14.7,38,26.86426235,Otolith rings,Acanthurus_lineatus,Morais_fishbase
Acanthuridae,Acanthurus lineatus,0.207163177,145.4,-14.7,38,26.86426235,Otolith rings,Acanthurus_lineatus,Morais_fishbase
Acanthuridae,Acanthurus mata,0.226838798,147.5,-18.5,50,26.55649216,Otolith rings,Acanthurus_mata,Morais_fishbase
Acanthuridae,Acanthurus nigricans,0.188527529,147.5,-18.5,21.3,26.55649216,Otolith rings,Acanthurus_nigricans,Morais_fishbase
Acanthuridae,Acanthurus nigricans,0.547985901,-157.5,2,21.3,27.88374093,Otolith rings,Acanthurus_nigricans,Morais_fishbase
Acanthuridae,Acanthurus nigricans,0.336656302,-162.15,5.88,21.3,28.44501644,Otolith rings,Acanthurus_nigricans,Morais_fishbase
Acanthuridae,Acanthurus nigrofuscus,0.220982334,147.5,-18.5,21,26.55649216,Otolith rings,Acanthurus_nigrofuscus,Morais_fishbase
